,PALIKA,District,Province,Full_Name,Longitude,Latitude
186,Lakshminiya Gaunpalika,DHANUSHA,2,"Lakshminiya Gaunpalika, DHANUSHA",85.93424287728344,26.798226523023345
187,Mithila Nagarpalika,DHANUSHA,2,"Mithila Nagarpalika, DHANUSHA",85.96482730052577,26.979098581442724
188,Mithila Bihari Nagarpalika,DHANUSHA,2,"Mithila Bihari Nagarpalika, DHANUSHA",86.00114273889412,26.79751383672285
189,Mukhiyapatti Musarmiya Gaunpalika,DHANUSHA,2,"Mukhiyapatti Musarmiya Gaunpalika, DHANUSHA",85.87857354526764,26.60429192256759
190,Nagarain Nagarpalika,DHANUSHA,2,"Nagarain Nagarpalika, DHANUSHA",85.92462256450341,26.64442526166083
191,Sabaila Nagarpalika,DHANUSHA,2,"Sabaila Nagarpalika, DHANUSHA",86.1023002802007,26.798799160660717
192,Sahidnagar Nagarpalika,DHANUSHA,2,"Sahidnagar Nagarpalika, DHANUSHA",86.10684081501142,26.735078748402476
193,Aurahi Nagarpalika,MAHOTTARI,2,"Aurahi Nagarpalika, MAHOTTARI",85.80074409191909,26.865964865282237
194,Balwa Nagarpalika,MAHOTTARI,2,"Balwa Nagarpalika, MAHOTTARI",85.8194811066334,26.76853719727175
195,Bardibas Nagarpalika,MAHOTTARI,2,"Bardibas Nagarpalika, MAHOTTARI",85.85534241754493,27.036061768200923
196,Bhangaha Nagarpalika,MAHOTTARI,2,"Bhangaha Nagarpalika, MAHOTTARI",85.8721348995328,26.84942853279054
197,Ekdanra Gaunpalika,MAHOTTARI,2,"Ekdanra Gaunpalika, MAHOTTARI",85.7650270639101,26.68746312373656
198,Gaushala Nagarpalika,MAHOTTARI,2,"Gaushala Nagarpalika, MAHOTTARI",85.7815943483956,26.949544109379303
199,Jaleswor Nagarpalika,MAHOTTARI,2,"Jaleswor Nagarpalika, MAHOTTARI",85.79962664814045,26.646709917775112
200,Loharpatti Nagarpalika,MAHOTTARI,2,"Loharpatti Nagarpalika, MAHOTTARI",85.86511745027967,26.76959483650845
201,Mahottari Gaunpalika,MAHOTTARI,2,"Mahottari Gaunpalika, MAHOTTARI",85.81176561308524,26.70349454934658
202,Manra Siswa Nagarpalika,MAHOTTARI,2,"Manra Siswa Nagarpalika, MAHOTTARI",85.75339161828744,26.724769987204194
203,Matihani Nagarpalika,MAHOTTARI,2,"Matihani Nagarpalika, MAHOTTARI",85.85989304524632,26.64282941819827
204,Pipra Gaunpalika,MAHOTTARI,2,"Pipra Gaunpalika, MAHOTTARI",85.86845813210954,26.69445418648412
205,Ramgopalpur Nagarpalika,MAHOTTARI,2,"Ramgopalpur Nagarpalika, MAHOTTARI",85.78361611102287,26.810063452825382
206,Samsi Gaunpalika,MAHOTTARI,2,"Samsi Gaunpalika, MAHOTTARI",85.7478853226957,26.805804971649604
207,Sonama Gaunpalika,MAHOTTARI,2,"Sonama Gaunpalika, MAHOTTARI",85.72299789759283,26.86700354686678
208,Bagmati Nagarpalika,SARLAHI,2,"Bagmati Nagarpalika, SARLAHI",85.47724339470338,27.077737093609947
209,Balara Nagarpalika,SARLAHI,2,"Balara Nagarpalika, SARLAHI",85.36873145911235,26.795306907623658
210,Barahathawa Nagarpalika,SARLAHI,2,"Barahathawa Nagarpalika, SARLAHI",85.4538020758805,26.9817961462055
211,Basbariya Gaunpalika,SARLAHI,2,"Basbariya Gaunpalika, SARLAHI",85.43937465131971,26.926056095413077
212,Bishnu Gaunpalika,SARLAHI,2,"Bishnu Gaunpalika, SARLAHI",85.4726939765918,26.81544921200346
213,Bramhapuri Gaunpalika,SARLAHI,2,"Bramhapuri Gaunpalika, SARLAHI",85.60990547155654,26.890267726931913
214,Chakraghatta Gaunpalika,SARLAHI,2,"Chakraghatta Gaunpalika, SARLAHI",85.50982774222119,26.899993120095022
215,Chandranagar Gaunpalika,SARLAHI,2,"Chandranagar Gaunpalika, SARLAHI",85.60054713956988,26.937547024523536
216,Dhankaul Gaunpalika,SARLAHI,2,"Dhankaul Gaunpalika, SARLAHI",85.40925418325808,26.883077785431677
217,Godaita Nagarpalika,SARLAHI,2,"Godaita Nagarpalika, SARLAHI",85.44567024226158,26.844414821914064
